ability_id,source_type,source_id,name,text,source_file
c49d-5ebc-4ee4-689e:no-prey-can-evade:1608-b9e4-ab65-cb69,unit,c49d-5ebc-4ee4-689e,No Prey Can Evade,You can re-roll Advance and Charge rolls made for this model.,Chaos - Chaos Daemons Library.cat
c49d-5ebc-4ee4-689e:monarch-of-the-hunt:bfdd-9874-4432-5d1c,unit,c49d-5ebc-4ee4-689e,Monarch of the Hunt,"At the start of the first battle round, select one enemy unit to be this model’s quarry. Each time this model makes a melee attack that targets its quarry, you can re-roll the Hit roll and you can re-roll the Wound roll. Each time this model’s quarry is destroyed, select one new enemy unit to be this model’s quarry.",Chaos - Chaos Daemons Library.cat
a903-dd97-339d-6899:invulnerable-save:a1c6-43a3-5780-f93a,unit,a903-dd97-339d-6899,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
a903-dd97-339d-6899:daemon-lord-of-slaanesh-(aura):7c66-4f14-4eaa-3504,unit,a903-dd97-339d-6899,Daemon Lord of Slaanesh (Aura),"While a friendly ^^Slaanesh Legiones Daemonica^^ unit is within 6"" of this model, improve the Armour Penetration of melee weapons in that unit by 1.",Chaos - Chaos Daemons Library.cat
a903-dd97-339d-6899:mesmerising-form:37c3-1a87-c670-6b4,unit,a903-dd97-339d-6899,Mesmerising Form,"Each time an attack targets this model, subtract 1 from the Hit roll.",Chaos - Chaos Daemons Library.cat
2cc5-ef65-c4b9-28c6:leader:4c6f-a55-edab-b9d4,unit,2cc5-ef65-c4b9-28c6,Leader,"This model can be attached to the following unit:
■ DAEMONETTES",Chaos - Chaos Daemons Library.cat
2cc5-ef65-c4b9-28c6:invulnerable-save:-infernal-enrapturess:ee36-47e7-9eb7-41e6,unit,2cc5-ef65-c4b9-28c6,Invulnerable Save: Infernal Enrapturess,This model has a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
2cc5-ef65-c4b9-28c6:harmonic-alignment:c45-f663-afd9-62fe,unit,2cc5-ef65-c4b9-28c6,Harmonic Alignment,"While this model is leading a unit, in your Command phase, you can return D3 destroyed Bodyguard models to that unit.",Chaos - Chaos Daemons Library.cat
2cc5-ef65-c4b9-28c6:discordant-disruption-(aura):33dd-808b-b057-630a,unit,2cc5-ef65-c4b9-28c6,Discordant Disruption (Aura),"While an enemy ^^Psyker^^ unit is within 12"" of this model, Psychic weapons equipped by models in that unit have the [HAZARDOUS] ability.",Chaos - Chaos Daemons Library.cat
1567-b99b-bd8f-d485:invulnerable-save:23b1-5bec-a651-94af,unit,1567-b99b-bd8f-d485,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
1567-b99b-bd8f-d485:the-eternal-dance:8b1b-ebfa-1032-f615,unit,1567-b99b-bd8f-d485,The Eternal Dance,"At the start of the Fight phase, select one enemy unit within 6"" of this model. Until the end of the phase:
■ Each time a friendly SLAANESH LEGIONES DAEMONICA model makes a melee attack that targets that enemy unit, add 1 to the Wound roll.
■ Each time a model in that enemy unit makes a melee attack, subtract 1 from the Wound roll.",Chaos - Chaos Daemons Library.cat
1567-b99b-bd8f-d485:dazzling-acrobatics:b12d-9aee-1920-6565,unit,1567-b99b-bd8f-d485,Dazzling Acrobatics,This model is eligible to declare a charge in a turn in which it Advanced or Fell Back.,Chaos - Chaos Daemons Library.cat
27f6-d907-66f-ca28:invulnerable-save:-syll'esske:5004-349-cf37-f728,unit,27f6-d907-66f-ca28,Invulnerable Save: Syll'esske,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
27f6-d907-66f-ca28:prince-of-slaanesh:fbf7-d855-510e-709d,unit,27f6-d907-66f-ca28,Prince of Slaanesh,"While this model is leading a unit, each time a model in that unit makes a melee attack, a successful unmodified Wound roll of 5+ scores a Critical Wound.",Chaos - Chaos Daemons Library.cat
27f6-d907-66f-ca28:delightful-agonies:3d1c-cff8-7ed8-16f1,unit,27f6-d907-66f-ca28,Delightful Agonies,"The first time this model is destroyed, roll one D6 at the end of the phase. On a 2+, set this model back up on the battlefield, as close as possible to where it was destroyed and not within Engagement Range of any enemy units, with its full wounds remaining.",Chaos - Chaos Daemons Library.cat
27f6-d907-66f-ca28:leader:4cf4-26b3-20a5-a5b4,unit,27f6-d907-66f-ca28,Leader,"This model can be attached to the following unit:
■ DAEMONETTES",Chaos - Chaos Daemons Library.cat
36df-8f40-8a6b-7d4c:invulnerable-save:-contorted-epitome:b794-6c42-20c4-5045,unit,36df-8f40-8a6b-7d4c,Invulnerable Save: Contorted Epitome,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
36df-8f40-8a6b-7d4c:swallow-energy-(psychic):8232-5e8b-c39e-ed35,unit,36df-8f40-8a6b-7d4c,Swallow Energy (Psychic),"While this model is leading a unit, models in that unit have the Feel No Pain 4+ ability against mortal wounds and Psychic Attacks.",Chaos - Chaos Daemons Library.cat
36df-8f40-8a6b-7d4c:horrible-fascination-(psychic):3a31-f7fd-c92-34f7,unit,36df-8f40-8a6b-7d4c,Horrible Fascination (Psychic),"At the start of your opponent’s Shooting phase, one PSYKER model from your army with this ability can use it. If it does, select one enemy unit within 12"" of and visible to that PSYKER model and roll one D6: on a 1, that PSYKER model suffers D3 mortal wounds; on a 2-5, until the end of the phase, each time a model in that enemy unit makes an attack, subtract 1 from the Hit roll; on a 6, that enemy unit is not eligible to shoot this phase.",Chaos - Chaos Daemons Library.cat
36df-8f40-8a6b-7d4c:leader:c7d8-b780-3ffb-6a40,unit,36df-8f40-8a6b-7d4c,Leader,"This model can be attached to the following unit:
■ DAEMONETTES",Chaos - Chaos Daemons Library.cat
673b-111b-6dcb-352:invulnerable-save:4895-14ff-ae5-20b2,unit,673b-111b-6dcb-352,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
673b-111b-6dcb-352:tormentbringer-(aura):6563-fd19-91d4-8074,unit,673b-111b-6dcb-352,Tormentbringer (Aura),"While a friendly **^^Slaanesh Legions Daemonica**^^ unit is within 6"" of this model, melee weapons in that unit have the [^^SUSTAINED HITS 1^^] ability.",Chaos - Chaos Daemons Library.cat
673b-111b-6dcb-352:hysterical-frenzy:a132-d15f-e3fb-346c,unit,673b-111b-6dcb-352,Hysterical Frenzy,"Each time a model in this model’s unit is destroyed, if that model has not fought this phase, do not remove it from play. The destroyed model can fight after the attacking unit has finished making its attacks, and is then removed from play.",Chaos - Chaos Daemons Library.cat
673b-111b-6dcb-352:leader:b8ff-c6e0-f8f5-5192,unit,673b-111b-6dcb-352,Leader,"This model can be attached to the following unit: 
- ^^**Hellflayers^^**",Chaos - Chaos Daemons Library.cat
dba-34e3-46f2-56e0:invulnerable-save:-tranceweaver:555f-3d60-4549-efb8,unit,dba-34e3-46f2-56e0,Invulnerable Save: Tranceweaver,This model has a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
dba-34e3-46f2-56e0:tranceweaver:4fd7-faf4-6d02-1fa6,unit,dba-34e3-46f2-56e0,Tranceweaver,"Each time a model in this unit makes an attack, re-roll a Hit roll of 1. If the target of that attack is within range of an objective marker, you can re-roll the Hit roll instead.",Chaos - Chaos Daemons Library.cat
dba-34e3-46f2-56e0:symphony-of-pain-(psychic):caae-e670-6489-7383,unit,dba-34e3-46f2-56e0,Symphony of Pain (Psychic),"At the end of your Movement phase, you can select one enemy unit that is Battle-shocked and within 12"" of this model. Until the end of the turn, each time a SLAANESH LEGIONES DAEMONICA model from your army makes an attack that targets that enemy unit, you can re-roll the Hit roll and you can re-roll the Wound roll.",Chaos - Chaos Daemons Library.cat
dba-34e3-46f2-56e0:leader:d3f1-67ce-785b-9aaa,unit,dba-34e3-46f2-56e0,Leader,"This model can be attached to the following unit:
■ DAEMONETTES",Chaos - Chaos Daemons Library.cat
41c2-d2e6-ae43-3beb:horrifying-beauty:fdb2-c864-accd-13af,unit,41c2-d2e6-ae43-3beb,Horrifying Beauty ,"At the start of the Fight phase, each enemy unit within Engagement Range of one of more units from your army with this ability must take a Battle-shock test, subtracting 1 from the result if that enemy unit is Below Half-strength.",Chaos - Chaos Daemons Library.cat
41c2-d2e6-ae43-3beb:invulnerable-save:8bd3-66d6-ca3-51e3,unit,41c2-d2e6-ae43-3beb,Invulnerable Save,Models in this unit have a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
d1ee-8d05-4fae-1727:invulnerable-save:75f2-6b89-ec24-3625,unit,d1ee-8d05-4fae-1727,Invulnerable Save,Models in this unit have a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
d1ee-8d05-4fae-1727:soporific-musk:6261-4d13-9e0c-a791,unit,d1ee-8d05-4fae-1727,Soporific Musk,"Each time an enemy unit (excluding ^^Monsters^^ and ^^Vehicles^^) within Engagement Range of one or more units from your army with this ability Falls Back, models in that enemy unit must take Desperate Escape tests. When doing so, if that enemy unit is also Battle-shocked, subtract 1 from each of those Desperate Escape tests.",Chaos - Chaos Daemons Library.cat
112d-8078-777f-76a5:unholy-speed:add0-cd78-4804-61aa,unit,112d-8078-777f-76a5,Unholy Speed,You can re-roll Advance and Charge rolls made for this unit.,Chaos - Chaos Daemons Library.cat
112d-8078-777f-76a5:invulnerable-save:f8a2-e7e-1e26-3c8f,unit,112d-8078-777f-76a5,Invulnerable Save,Models in this unit have a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
e8d-bf22-b29-d20e:invulnerable-save:d3c1-c2ed-1e79-a2ca,unit,e8d-bf22-b29-d20e,Invulnerable Save,Models in this unit have a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
e8d-bf22-b29-d20e:cutting-down-the-foe:86c1-944-cb8c-e6f,unit,e8d-bf22-b29-d20e,Cutting Down the Foe,"Each time a model in this unit makes a melee attack, if this unit made a Charge move this turn, improve the Strength and Damage characteristics of that attack by 1.",Chaos - Chaos Daemons Library.cat
5fe1-5a7a-9f8e-21e0:scythed-impact:907f-21a6-8734-3466,unit,5fe1-5a7a-9f8e-21e0,Scythed Impact,"Each time this unit makes a Charge move, until the end of the phase, melee weapons equipped by models in this unit have the [ANTI-INFANTRY 4+] ability.",Chaos - Chaos Daemons Library.cat
5fe1-5a7a-9f8e-21e0:invulnerable-save:1344-7ff7-2c4c-370b,unit,5fe1-5a7a-9f8e-21e0,Invulnerable Save,Models in this unit have a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
7f62-6b3f-c4fe-b971:infernal-engines-of-torment:6cd4-527b-d9cd-107f,unit,7f62-6b3f-c4fe-b971,Infernal Engines of Torment,"In the Fight phase, after this model has finished making its attacks, if one or more enemy units were destroyed as a result of those attacks, every enemy unit within 6"" of this model must take a Battleshock test.",Chaos - Chaos Daemons Library.cat
7f62-6b3f-c4fe-b971:invulnerable-save:679a-1c5c-a425-2a19,unit,7f62-6b3f-c4fe-b971,Invulnerable Save,Models in this unit have a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
2901-92bd-2f4-736d:regenerating-monstrosity:bf2c-ef0-53e7-9307,unit,2901-92bd-2f4-736d,Regenerating Monstrosity,"At the start of each player’s Command phase, this model regains up to D3 lost wounds.",Chaos - Chaos Daemons Library.cat
2901-92bd-2f4-736d:invulnerable-save:92b3-cd5b-f2dc-c70c,unit,2901-92bd-2f4-736d,Invulnerable Save,This model has a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
2901-92bd-2f4-736d:invulnerable-save:58aa-261f-b87b-2f56,unit,2901-92bd-2f4-736d,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
da05-80d-6229-6e44:invulnerable-save:e546-976d-961f-989a,unit,da05-80d-6229-6e44,Invulnerable Save,This model has a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
da05-80d-6229-6e44:invulnerable-save:7eeb-ee94-f250-7460,unit,da05-80d-6229-6e44,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
da05-80d-6229-6e44:warp-spines:adb8-6d3-388f-dbf1,unit,da05-80d-6229-6e44,Warp Spines,"Each time this model ends a Charge move, select one enemy unit within Engagement Range of it and roll one D6: on a 2-3, that enemy unit suffers D3 mortal wounds; on a 4-5, that enemy unit suffers 3 mortal wounds; on a 6, that enemy unit suffers D3+3 mortal wounds.",Chaos - Chaos Daemons Library.cat
fd5b-9e27-797d-6a3a:invulnerable-save:537-879b-a252-f90a,unit,fd5b-9e27-797d-6a3a,Invulnerable Save,Models in this unit have a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
fd5b-9e27-797d-6a3a:grandfather's-blessing:3624-2233-e546-5f2e,unit,fd5b-9e27-797d-6a3a,Grandfather's Blessing,"If a model from your army with the Leader ability can be attached to a BEASTS OF NURGLE unit, it can be attached to this unit instead.",Chaos - Chaos Daemons Library.cat
fd5b-9e27-797d-6a3a:bounding-assault:798a-4314-bcfe-43f9,unit,fd5b-9e27-797d-6a3a,Bounding Assault,"Each time this unit ends a Charge move, until the end of the turn, Pox Rider plagueswords equipped by models in this unit have the [LANCE] ability.",Chaos - Chaos Daemons Library.cat
a5c9-6285-af1e-3cc3:invulnerable-save:64e9-b0ce-16c2-7eb4,unit,a5c9-6285-af1e-3cc3,Invulnerable Save,Models in this unit have a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
a5c9-6285-af1e-3cc3:grandfather's-blessing:fc90-521d-274b-983,unit,a5c9-6285-af1e-3cc3,Grandfather's Blessing,"If a model from your army with the Leader ability can be attached to a BEASTS OF NURGLE unit, it can be attached to this unit instead.",Chaos - Chaos Daemons Library.cat
a5c9-6285-af1e-3cc3:pouncing-leap:387b-eef6-e4eb-6f6d,unit,a5c9-6285-af1e-3cc3,Pouncing Leap,"You can target this unit with the Heroic Intervention Stratagem for 0CP, and can do so even if you have already used that Stratagem on a different unit this phase.",Chaos - Chaos Daemons Library.cat
5714-846a-d343-d1b4:invulnerable-save:b587-a521-ffc-f10a,unit,5714-846a-d343-d1b4,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
5714-846a-d343-d1b4:emissary-of-the-blood-god-(aura):db49-1338-fd82-baea,unit,5714-846a-d343-d1b4,Emissary of the Blood God (Aura),"While a friendly KHORNE LEGIONES DAEMONICA unit is within 6"" of this model, you can re-roll Battle-shock tests taken for that unit.",Chaos - Chaos Daemons Library.cat
5714-846a-d343-d1b4:relentless-carnage:d962-13a6-8f33-71d0,unit,5714-846a-d343-d1b4,Relentless Carnage,"At the end of the Fight phase, you can select one enemy unit within Engagement Range of this model and roll eight D6: for each 4+, that enemy unit suffers 1 mortal wound.",Chaos - Chaos Daemons Library.cat
a44f-b07c-5a50-ff95:invulnerable-save:c9ec-81d-51e9-4d51,unit,a44f-b07c-5a50-ff95,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
a44f-b07c-5a50-ff95:emissary-of-the-great-mutator-(aura):9297-166b-903c-d00f,unit,a44f-b07c-5a50-ff95,Emissary of the Great Mutator (Aura),"While a friendly TZEENTCH LEGIONES DAEMONICA unit is within 6"" of this model, you can re-roll Battle-shock tests taken for that unit.",Chaos - Chaos Daemons Library.cat
a44f-b07c-5a50-ff95:master-of-magicks-(psychic):771a-1aba-68fe-7684,unit,a44f-b07c-5a50-ff95,Master of Magicks (Psychic),"In your Shooting phase, select one of the following abilities: [IGNORES COVER]; [LETHAL HITS]; [SUSTAINED HITS D3]. Until the end of the phase, this model’s ranged weapon has that ability.",Chaos - Chaos Daemons Library.cat
e57d-435b-99da-d559:invulnerable-save:8a5-b6ec-610-fff3,unit,e57d-435b-99da-d559,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
e57d-435b-99da-d559:emissary-of-the-plague-god-(aura):2798-97f-7fc-5f4a,unit,e57d-435b-99da-d559,Emissary of the Plague God (Aura),"While a friendly NURGLE LEGIONES DAEMONICA unit is within 6"" of this model, you can re-roll Battle-shock tests taken for that unit.",Chaos - Chaos Daemons Library.cat
e57d-435b-99da-d559:nurgle’s-rot-(psychic):69aa-5adb-70cb-7b47,unit,e57d-435b-99da-d559,Nurgle’s Rot (Psychic),"At the end of your Movement phase, you can select one enemy unit within 12"" of this model. Until the start of your next Movement phase, subtract 1 from the Toughness characteristic of models in that unit.",Chaos - Chaos Daemons Library.cat
268e-459c-c6e8-7754:invulnerable-save:f011-5ba0-819-2f25,unit,268e-459c-c6e8-7754,Invulnerable Save,This model has a 4+ invulnerable save.,Chaos - Chaos Daemons Library.cat
268e-459c-c6e8-7754:emissary-of-the-prince-of-excess-(aura):57f4-f2df-d61b-aa00,unit,268e-459c-c6e8-7754,Emissary of the Prince of Excess (Aura),"While a friendly SLAANESH LEGIONES DAEMONICA unit is within 6"" of this model, you can re-roll Battle-shock tests taken for that unit.",Chaos - Chaos Daemons Library.cat
268e-459c-c6e8-7754:mesmerising-form:cd07-ea04-fc73-3699,unit,268e-459c-c6e8-7754,Mesmerising Form,"Each time an attack targets this model, subtract 1 from the Hit roll.",Chaos - Chaos Daemons Library.cat
b48f-f9b4-b47d-d181:invulnerable-save:393f-c831-40bd-4439,unit,b48f-f9b4-b47d-d181,Invulnerable Save,This model has a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
b48f-f9b4-b47d-d181:lethal-caress:63b6-6d43-2592-7306,unit,b48f-f9b4-b47d-d181,Lethal Caress,"While this model is leading a unit, improve the Armour Penetration characteristic of melee weapons equipped by models in that unit by 1.",Chaos - Chaos Daemons Library.cat
b48f-f9b4-b47d-d181:symphony-of-pain-(psychic):1fc1-36f5-8b8c-20d2,unit,b48f-f9b4-b47d-d181,Symphony of Pain (Psychic),"At the end of your Movement phase, you can select one enemy unit that is Battle-shocked and within 12"" of this model. Until the end of the turn, each time a SLAANESH LEGIONES DAEMONICA model from your army makes an attack that targets that enemy unit, you can re-roll the Hit roll and you can re-roll the Wound roll.",Chaos - Chaos Daemons Library.cat
b48f-f9b4-b47d-d181:leader:cb79-db55-e77-b13f,unit,b48f-f9b4-b47d-d181,Leader,"This model can be attached to the following unit:
■ SEEKERS",Chaos - Chaos Daemons Library.cat
1b9e-e164-7a5a-c8b7:prey-on-the-weak:c591-7926-5b88-ab16,unit,1b9e-e164-7a5a-c8b7,Prey on the Weak,"Each time this model makes an attack thattar gets an enemy unit that is Battle-shocked, add 1 to the Wound roll.",Chaos - Chaos Daemons Library.cat
1b9e-e164-7a5a-c8b7:invulnerable-save:cb5-5283-5031-bf06,unit,1b9e-e164-7a5a-c8b7,Invulnerable Save,Models in this unit have a 5+ invulnerable save.,Chaos - Chaos Daemons Library.cat
3a39-0b56-25e0-eff8:daemonic-locus:bbdb-275b-b527-e786,unit,3a39-0b56-25e0-eff8,Daemonic Locus,"While this model is leading a unit, in your Command phase, you can return 1 destroyed Bodyguard model, or D3 destroyed models with the ^^**Battleline**^^ keyword, to that unit.",Chaos - Chaos Daemons Library.cat
3a39-0b56-25e0-eff8:leader:c521-9e9b-c855-b7be,unit,3a39-0b56-25e0-eff8,Leader,"This model can be attached to the following unit: ^^**Infantry Daemon**^^ units (excluding ^^**Possessed**^^ units) which share one of the following keywords with this model ^^**Khorne, Nurgle, Slaanesh, Tzeentch**^^",Chaos - Chaos Daemons Library.cat
8597-d6dd-511e-80ae:malefic-impact:66bd-7c8d-e605-92b4,unit,8597-d6dd-511e-80ae,Malefic Impact,Melee weapons equipped by models in this unit have the [^^Lance^^] ability.,Chaos - Chaos Daemons Library.cat
8597-d6dd-511e-80ae:leader:43c0-53e5-749c-fa15,unit,8597-d6dd-511e-80ae,Leader,"This model can be attached to the following unit: ^^**Mounted Daemon**^^ units which share one of the following keywords with this model ^^**Khorne, Nurgle, Slaanesh, Tzeentch**^^",Chaos - Chaos Daemons Library.cat
3594-bf68-4a46-fbf8:infernal-attendants:011e-13dd-5745-508c,unit,3594-bf68-4a46-fbf8,Infernal Attendants,"While this model is within 3"" of one or more friendly ^^**Daemon Infantry**^^ units, this model has the Lone Operative ability.",Chaos - Chaos Daemons Library.cat
3594-bf68-4a46-fbf8:font-of-unreality:1d54-e21e-4429-035e,unit,3594-bf68-4a46-fbf8,Font of Unreality,"Each time an attack is allocated to a friendly ^^**Daemon**^^ unit within 3"" of this model, subtract 1 from the Hit roll.",Chaos - Chaos Daemons Library.cat
8df0-fc3c-8ced-ffce:executioner:7e36-46d2-4914-c4af,unit,8df0-fc3c-8ced-ffce,Executioner,"Each time this model makes an attack that targets a unit Below Half-strength, add 1 to the Hit roll. Each time an enemy unit is destroyed as the result of this model's attacks, before removing the last model in that unit from the battlefield, each other unit from your opponent's army that is within 3"" of it must take a Battle-shock test.",Chaos - Chaos Knights Library.cat
8df0-fc3c-8ced-ffce:invulnerable-save:1d7c-736f-d076-8966,unit,8df0-fc3c-8ced-ffce,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
bbc6-c0ed-24e8-86b7:stalker:56bf-6bad-83b7-3a78,unit,bbc6-c0ed-24e8-86b7,Stalker,"Each time this model makes an attack that targets an enemy unit, if there are no other units from your opponent’s army within 6"" of that target, add 1 to the Wound roll.",Chaos - Chaos Knights Library.cat
bbc6-c0ed-24e8-86b7:invulnerable-save:84cb-de00-c868-b4e9,unit,bbc6-c0ed-24e8-86b7,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
e96b-ac98-7fd2-a155:karnivore:dec4-f0af-5aee-9e79,unit,e96b-ac98-7fd2-a155,Karnivore,You can re-roll Advance and Charge rolls made for this model.,Chaos - Chaos Knights Library.cat
e96b-ac98-7fd2-a155:invulnerable-save:7616-9c14-acc8-dd08,unit,e96b-ac98-7fd2-a155,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
753d-4e02-eda3-4809:brigand:34ad-4a93-4309-03bd,unit,753d-4e02-eda3-4809,Brigand,Ranged weapons equipped by this model have the [Ignores Cover] ability while targeting enemy units in range of one or more objective markers.,Chaos - Chaos Knights Library.cat
753d-4e02-eda3-4809:invulnerable-save:3b7b-2e72-7d21-e0d2,unit,753d-4e02-eda3-4809,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
6e6d-7950-ce6d-4cd4:huntsman:6e59-6cc9-5270-3482,unit,6e6d-7950-ce6d-4cd4,Huntsman,"Each time this model makes an attack that targets a ^^**Monster^^** or ^^**Vehicle^^** unit, you can re-roll the Wound roll.",Chaos - Chaos Knights Library.cat
6e6d-7950-ce6d-4cd4:invulnerable-save:ab12-2587-aec2-3a51,unit,6e6d-7950-ce6d-4cd4,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
0119-8c04-435e-c782:invulnerable-save:a0e0-55f7-a696-ae65,unit,0119-8c04-435e-c782,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
0119-8c04-435e-c782:dread-dominion-(aura):246f-e1c4-6335-20d1,unit,0119-8c04-435e-c782,Dread Dominion (Aura),"While a friendly ^^**War Dog^^** model is within 9"" of this model, improve that ^^**War Dog^^** model's Leadership  and Objective Control characteristics by 1.",Chaos - Chaos Knights Library.cat
0119-8c04-435e-c782:seething-hatred:8d65-776a-67a4-e925,unit,0119-8c04-435e-c782,Seething Hatred,"Each time this model is selected to shoot or fight, you can re-roll one Hit roll or you can re-roll one Wound roll when resolving those attacks.",Chaos - Chaos Knights Library.cat
7a51-8f1f-7290-d9d2:invulnerable-save:1167-4392-80a2-401e,unit,7a51-8f1f-7290-d9d2,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
7a51-8f1f-7290-d9d2:taskmaster-(aura):fe14-c4c9-0210-2cd0,unit,7a51-8f1f-7290-d9d2,Taskmaster (Aura),"While a friendly ^^**War Dog^^** model is within 9"" of this model, each time that ^^**War Dog^^** model makes a ranged attack, re-roll a Hit roll of 1.",Chaos - Chaos Knights Library.cat
7a51-8f1f-7290-d9d2:obsessive-ruthlessness:dd85-4783-c495-ca01,unit,7a51-8f1f-7290-d9d2,Obsessive Ruthlessness,"Each time this model makes a ranged attack that targets a ^^**Monster^^** or ^^**Vehicle^^** unit, that attack has the [DEVASTATING WOUNDS] ability.",Chaos - Chaos Knights Library.cat
61e0-e55b-1926-44df:invulnerable-save:c2f6-d175-4cc9-dc7f,unit,61e0-e55b-1926-44df,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
61e0-e55b-1926-44df:frenzied-rampage-(aura):0e4f-8cca-c666-dbf8,unit,61e0-e55b-1926-44df,Frenzied Rampage (Aura),"While a friendly ^^**War Dog^^** model is within 9"" of this model, each time that ^^**War Dog^^** model makes a melee attack, re-roll a Hit roll of 1.",Chaos - Chaos Knights Library.cat
61e0-e55b-1926-44df:bloodlust:eb59-fb5e-62ca-e829,unit,61e0-e55b-1926-44df,Bloodlust,"Each time this model makes a Charge move, until the end of the turn, its melee weapons have the [Devastating Wounds] ability.",Chaos - Chaos Knights Library.cat
a78d-828b-302b-1bec:invulnerable-save:4e9b-b002-b008-6077,unit,a78d-828b-302b-1bec,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
a78d-828b-302b-1bec:vortex-terrors-(psychic):9552-ae5b-6be2-775d,unit,a78d-828b-302b-1bec,Vortex Terrors (Psychic),"At the start of your Shooting phase, select one enemy unit within 24"" of and visible to this model. That enemy unit must take a Battle-shock test.",Chaos - Chaos Knights Library.cat
a78d-828b-302b-1bec:warp-storms-(psychic):cac0-b733-e4cf-d88e,unit,a78d-828b-302b-1bec,Warp Storms (Psychic),"At the end of your Movement phase, roll one D6 for each enemy unit within 9"" of one or more models with this ability: on a 3+, that enemy unit suffers D3 mortal wounds.",Chaos - Chaos Knights Library.cat
87ea-c7bd-6df0-f056:infernal-aegis-(aura):87a6-3ff2-cea4-2c34,unit,87ea-c7bd-6df0-f056,Infernal Aegis (Aura),"While a friendly ^^**War Dog^^** model is within 6"" of this model, that ^^**War Dog^^** model has the Benefit of Cover.",Chaos - Chaos Knights Library.cat
87ea-c7bd-6df0-f056:bastion-of-corruption:fc0a-7d42-111d-44a3,unit,87ea-c7bd-6df0-f056,Bastion of Corruption,"Enemy units that are set up on the battlefield as Reinforcements cannot be set up within 12"" of this model.",Chaos - Chaos Knights Library.cat
87ea-c7bd-6df0-f056:invulnerable-save:f7fe-ed4a-bdc7-3f9,unit,87ea-c7bd-6df0-f056,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
e289-ad32-c78a-e055:invulnerable-save:6a7a-a366-3b41-378c,unit,e289-ad32-c78a-e055,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
e289-ad32-c78a-e055:sunderer-of-fortresses:a74b-9224-a762-2be2,unit,e289-ad32-c78a-e055,Sunderer of Fortresses,"Each time this model makes an attack that targets a ^^**Vehicle^^**, improve the Strength and Damage characteristics of that attack by 1 (if that attack targets a ^^**Fortification^^**, improve the Strength and Damage characteristics of that attack by 2 instead).",Chaos - Chaos Knights Library.cat
fe77-6f85-5ddb-65bf:invulnerable-save:eb6a-d569-aa17-af1d,unit,fe77-6f85-5ddb-65bf,Invulnerable Save,This model has a 5+ invulnerable save against ranged attacks.,Chaos - Chaos Knights Library.cat
fe77-6f85-5ddb-65bf:bastion-of-firepower:e9ae-3e4d-a77b-c5d2,unit,fe77-6f85-5ddb-65bf,Bastion of Firepower,"Each time this model Remains Stationary, until the end of the turn, ranged weapons equipped by this model have the [LETHAL HITS] ability.",Chaos - Chaos Knights Library.cat
