review_rank,review_priority,review_hint,unit_id,unit_name,faction_contains,selection_type,models_min,models_max,review_category,suggestion_score,suggestion_reason,suggested_guide_faction,suggested_guide_unit_name,suggested_guide_model_name,suggested_base_size_text,override_base_size_text,override_base_type,override_base_shape,override_base_width_mm,override_base_depth_mm,override_guide_faction,override_guide_unit_name,override_guide_model_name,review_decision,review_notes
67,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Farseer Skyrunner'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",69f4-c990-93b4-20fc,Autarch Skyrunner [Legends],Aeldari - Aeldari Library,model,1,1,unmatched_unit,0.69,name similarity 0.71; token overlap 0.33; faction compatible,AELDARI,Farseer Skyrunner,,Small Flying Base,,,,,,,,,,
68,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Ravenwing Dark Talon'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a2b6-e35-67a8-d76e,Ravenwing Talonmaster [Legends],Imperium - Adeptus Astartes - Dark Angels,model,1,1,unmatched_unit,0.69,name similarity 0.73; token overlap 0.25; faction compatible,DARK ANGELS,Ravenwing Dark Talon,,120x92mm Oval Base,,,,,,,,,,
69,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaplain on Bike'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",e4c7-b10c-6896-3f0,Ancient on Bike [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.69,name similarity 0.65; token overlap 0.50; faction compatible,SPACE MARINES,Chaplain on Bike,,90x52.5mm Oval Base,,,,,,,,,,
70,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Land Raider'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",5031-c88d-5a9c-754d,Land Speeder [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.69,name similarity 0.70; token overlap 0.33; faction compatible,SPACE MARINES,Land Raider,,Hull,,,,,,,,,,
71,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Logan Grimnar'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",54e3-9fb6-416-8a90,Logan Grimnar on Stormrider [Legends],Imperium - Adeptus Astartes - Space Wolves,model,1,1,unmatched_unit,0.69,name similarity 0.65; token overlap 0.50; faction compatible,SPACE WOLVES,Logan Grimnar,,80mm,,,,,,,,,,
72,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Death Riders'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",d58c-e97f-5062-d9e1,Death Rider Commissar [Legends],Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.69,name similarity 0.73; token overlap 0.25; faction compatible,ASTRA MILITARUM,Death Riders,,60x35.5mm Oval Base,,,,,,,,,,
73,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Interceptor Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",1aa5-d081-2442-4c37,Xiphon Interceptor [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.69,name similarity 0.76; token overlap 0.50,GREY KNIGHTS,Interceptor Squad,,32mm,,,,,,,,,,
74,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Deff Dread'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",5c83-d9c7-5c58-8357,Mega Dread [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.69,name similarity 0.70; token overlap 0.33; faction compatible,ORKS,Deff Dread,,60mm,,,,,,,,,,
75,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Deff Dread'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",121b-9fda-2ccb-e38c,Meka-Dread [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.69,name similarity 0.70; token overlap 0.33; faction compatible,ORKS,Deff Dread,,60mm,,,,,,,,,,
76,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaos Spawn'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",dd17-8cb8-ed8c-f6c8,Chaos Spawn (Flesh Change),Chaos - Thousand Sons,unit,1,1,unmatched_unit,0.68,name similarity 0.63; token overlap 0.50; faction compatible,THOUSAND SONS,Chaos Spawn,,50mm,,,,,,,,,,
77,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Librarian in Terminator Armour'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a341-f355-7305-58bb,Wolf Guard Pack Leader in Terminator Armour [Legends],Imperium - Adeptus Astartes - Space Wolves,model,1,1,unmatched_unit,0.68,name similarity 0.68; token overlap 0.38; faction compatible,SPACE MARINES,Librarian in Terminator Armour,,40mm,,,,,,,,,,
78,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Riptide Battlesuit'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b146-daf1-9b8b-6de9,R'varna Battlesuit [Legends],Xenos - T'au Empire,model,1,1,unmatched_unit,0.68,name similarity 0.69; token overlap 0.33; faction compatible,T’AU EMPIRE,Riptide Battlesuit,,120x92mm Oval Base,,,,,,,,,,
79,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Riptide Battlesuit'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",8013-c4e0-166e-a961,Y'vahra Battlesuit [Legends],Xenos - T'au Empire,model,1,1,unmatched_unit,0.68,name similarity 0.69; token overlap 0.33; faction compatible,T’AU EMPIRE,Riptide Battlesuit,,120x92mm Oval Base,,,,,,,,,,
80,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Stormtalon Gunship'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",3b7d-b14e-603-e1ad,Storm Eagle Gunship [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.67,name similarity 0.81; token overlap 0.25,GREY KNIGHTS,Stormtalon Gunship,,120x92mm Oval Base,,,,,,,,,,
81,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Gargantuan Squiggoth'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",df63-56a0-92e1-6191,Squiggoth [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.67,name similarity 0.62; token overlap 0.50; faction compatible,ORKS,Gargantuan Squiggoth,,Hull,,,,,,,,,,
82,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Reavers'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a228-7269-9961-daf4,Reaper [Legends],Aeldari - Aeldari Library,model,1,1,unmatched_unit,0.66,name similarity 0.77; token overlap 0.00; faction compatible,DRUKHARI,Reavers,,Small Flying Base,,,,,,,,,,
83,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Ynnari Raider'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",4016-44d3-c64b-cc1a,Vampire Raider [Legends],Aeldari - Aeldari Library,model,1,1,unmatched_unit,0.66,name similarity 0.67; token overlap 0.33; faction compatible,AELDARI,Ynnari Raider,,Large Flying Base,,,,,,,,,,
84,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Chaos Predator Destructor'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6add-621e-381e-4acf,Chaos Deimos Predator [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.66,name similarity 0.61; token overlap 0.50; faction compatible,CHAOS SPACE MARINES,Chaos Predator Destructor,,Hull,,,,,,,,,,
85,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Traitor Enforcer'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",5b66-39e6-aeb5-8011,Renegade Enforcer [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.66,name similarity 0.67; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Traitor Enforcer,,32mm,,,,,,,,,,
86,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Sorcerer'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",af6f-7c4e-ec78-858e,Sorcerer on Bike [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.66,name similarity 0.67; token overlap 0.33; faction compatible,CHAOS SPACE MARINES,Sorcerer,,40mm,,,,,,,,,,
87,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Grey Knights Thunderhawk Gunship'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",28d0-5a52-501a-441d,Grey Knights Dreadnought [Legends],Imperium - Grey Knights,model,1,1,unmatched_unit,0.66,name similarity 0.64; token overlap 0.40; faction compatible,GREY KNIGHTS,Grey Knights Thunderhawk Gunship,,Unique,,,,,,,,,,
88,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Wulfen Dreadnought'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",14d4-8062-f090-6719,Leviathan Dreadnought [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.66,name similarity 0.77; token overlap 0.33,SPACE WOLVES,Wulfen Dreadnought,,60mm,,,,,,,,,,
89,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Patriarch'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",678c-b59c-f85d-0a43,Voice of the Patriarch [Crucible],Xenos - Genestealer Cults,model,1,1,unmatched_unit,0.66,name similarity 0.67; token overlap 0.33; faction compatible,GENESTEALER CULTS,Patriarch,,50mm,,,,,,,,,,
90,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Night Scythe'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",e6d4-56e1-3bbd-475,Night Shroud [Legends],Xenos - Necrons,model,1,1,unmatched_unit,0.66,name similarity 0.67; token overlap 0.33; faction compatible,NECRONS,Night Scythe,,120x92mm Oval Base,,,,,,,,,,
91,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Vanguard Veteran Squad with Jump Packs'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",bfe7-b726-9158-d5ad,Assault Squad with Jump Packs [Legends],Imperium - Adeptus Astartes - Space Marines,unit,6,11,unmatched_unit,0.65,name similarity 0.62; token overlap 0.40; faction compatible,SPACE MARINES,Vanguard Veteran Squad with Jump Packs,,32mm,,,,,,,,,,
92,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Scout Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9a96-8de3-f4aa-7497,Scout Sniper Squad [Legends],Imperium - Adeptus Astartes - Space Marines,unit,6,11,unmatched_unit,0.65,name similarity 0.59; token overlap 0.50; faction compatible,SPACE MARINES,Scout Squad,,28.5mm,,,,,,,,,,
93,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Exalted Eightbound'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b9a4-a9c4-5f8d-ed3a,Exalted Champion [Crucible],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.65,name similarity 0.65; token overlap 0.33; faction compatible,WORLD EATERS,Exalted Eightbound,,40mm,,,,,,,,,,
94,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Exalted Eightbound'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",f3d9-883e-6ca2-e3b,Exalted Champion [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.65,name similarity 0.65; token overlap 0.33; faction compatible,WORLD EATERS,Exalted Eightbound,,40mm,,,,,,,,,,
95,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Battle Sisters Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",e15e-17fa-23ca-693e,Battle Sanctum [Legends],Imperium - Adepta Sororitas,model,1,1,unmatched_unit,0.65,name similarity 0.64; token overlap 0.33; faction compatible,ADEPTA SORORITAS,Battle Sisters Squad,,32mm,,,,,,,,,,
96,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Iron Priest'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6a01-437c-998a-f48e,Iron Priest on Thunderwolf [Legends],Imperium - Adeptus Astartes - Space Wolves,model,1,1,unmatched_unit,0.65,name similarity 0.59; token overlap 0.50; faction compatible,SPACE WOLVES,Iron Priest,,32mm,,,,,,,,,,
97,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Ravager'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6c76-b4e-4437-27e2,Kytan Ravager [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.65,name similarity 0.70; token overlap 0.50,DRUKHARI,Ravager,,Large Flying Base,,,,,,,,,,
98,review_suggestion_medium,"Check whether this imported unit is the same datasheet as 'Rogal Dorn Battle Tank'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b2f1-197b-fb3b-687f,Sicaran Battle Tank [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.65,name similarity 0.73; token overlap 0.40,ASTRA MILITARUM,Rogal Dorn Battle Tank,,Hull,,,,,,,,,,
99,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Centurion Assault Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",ca4e-47d5-a704-8e5a,Assault Squad [Legends],Imperium - Adeptus Astartes - Space Marines,unit,6,11,unmatched_unit,0.64,name similarity 0.58; token overlap 0.50; faction compatible,SPACE MARINES,Centurion Assault Squad,,50mm,,,,,,,,,,
100,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Plague Drones'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",da76-e18f-523e-d45a,Spindle Drones [Legends],Unaligned Forces,unit,4,4,unmatched_unit,0.64,name similarity 0.74; token overlap 0.33,CHAOS DAEMONS,Plague Drones,,Large Flying Base,,,,,,,,,,
101,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Crimson Hunter'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",ef18-ff32-2be6-7372,Warp Hunter [Legends],Aeldari - Aeldari Library,model,1,1,unmatched_unit,0.64,name similarity 0.64; token overlap 0.33; faction compatible,AELDARI,Crimson Hunter,,120x92mm Oval Base,,,,,,,,,,
102,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Plague Marines'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",89d8-7e90-be47-59b6,Plague Lord [Crucible],Chaos - Death Guard,model,1,1,unmatched_unit,0.64,name similarity 0.64; token overlap 0.33; faction compatible,DEATH GUARD,Plague Marines,,32mm,,,,,,,,,,
103,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Centurion Assault Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",df9b-111-d64a-e298,Caestus Assault Ram [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.64,name similarity 0.67; token overlap 0.25; faction compatible,SPACE MARINES,Centurion Assault Squad,,50mm,,,,,,,,,,
104,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Captain'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",faf9-bf62-8eb5-a3cb,Captain on Bike [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.64,name similarity 0.64; token overlap 0.33; faction compatible,SPACE MARINES,Captain,,40mm,,,,,,,,,,
105,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Falcon'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",625b-29e4-7be7-db5a,Falchion [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.64,name similarity 0.86; token overlap 0.00,AELDARI,Falcon,,Large Flying Base,,,,,,,,,,
106,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Aegis Defence Line'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",5b1d-134a-9996-b634,Aegis Defence Line with Weapon Emplacement [Legends],Unaligned Forces,model,1,1,unmatched_unit,0.64,name similarity 0.65; token overlap 0.60,ASTRA MILITARUM,Aegis Defence Line,,Hull,,,,,,,,,,
107,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Flash Gitz'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",3e53-68fa-a7b4-d6c6,Grotmas Gitz [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.64,name similarity 0.64; token overlap 0.33; faction compatible,ORKS,Flash Gitz,,40mm,,,,,,,,,,
108,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Kill Rig'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",3444-a152-c9e6-31aa,Kill Krusha [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.64,name similarity 0.63; token overlap 0.33; faction compatible,ORKS,Kill Rig,,170x109mm Oval Base,,,,,,,,,,
109,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Riptide Battlesuit'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9a6b-c7be-b8fd-28,XV9 Hazard Battlesuit,Xenos - T'au Empire,model,1,1,unmatched_unit,0.64,name similarity 0.67; token overlap 0.25; faction compatible,T’AU EMPIRE,Riptide Battlesuit,,120x92mm Oval Base,,,,,,,,,,
110,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Company Heroes'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a40-ff3f-c1ea-fea7,Company Veterans on Bikes [Legends],Imperium - Adeptus Astartes - Space Marines,unit,3,6,unmatched_unit,0.63,name similarity 0.67; token overlap 0.20; faction compatible,SPACE MARINES,Company Heroes,,40mm,,,,,,,,,,
111,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Deffkoptas'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",51a5-6c92-806e-57d6,Deffkoptas with Big Shootas [Legends],Xenos - Orks,unit,3,3,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,ORKS,Deffkoptas,,75x42mm Oval Base,,,,,,,,,,
112,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Burning Chariot'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",5fe1-5a7a-9f8e-21e0,Seeker Chariot [Legends],Chaos - Daemons Library,unit,1,2,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,CHAOS DAEMONS,Burning Chariot,,120x92mm Oval Base,,,,,,,,,,
113,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Mek Gunz'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",7eb0-5bc7-24c-6cb4,Big Gunz [Legends],Xenos - Orks,unit,1,2,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,ORKS,Mek Gunz,,Hull,,,,,,,,,,
114,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Warbikers'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",e969-cbc8-60a6-affb,Warbuggies [Legends],Xenos - Orks,unit,1,2,unmatched_unit,0.63,name similarity 0.74; token overlap 0.00; faction compatible,ORKS,Warbikers,,75x42mm Oval Base,,,,,,,,,,
115,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Broadside Battlesuits'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9b21-52b7-6d8b-3e51,XV9 Hazard Battlesuits [Legends],Xenos - T'au Empire,unit,1,2,unmatched_unit,0.63,name similarity 0.65; token overlap 0.25; faction compatible,T’AU EMPIRE,Broadside Battlesuits,,60mm,,,,,,,,,,
116,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Burning Chariot'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9843-75d5-f031-6ff7,Seeker Chariot,Chaos - Daemons Library,model,1,1,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,CHAOS DAEMONS,Burning Chariot,,120x92mm Oval Base,,,,,,,,,,
117,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Plague Surgeon'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",d037-162a-ac85-9c88,Plague Sorcerer [Crucible],Chaos - Death Guard,model,1,1,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,DEATH GUARD,Plague Surgeon,,40mm,,,,,,,,,,
118,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Flawless Blades'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",2334-eccf-6ea5-562e,Flawless Champion [Crucible],Chaos - Emperor's Children,model,1,1,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,EMPEROR’S CHILDREN,Flawless Blades,,40mm,,,,,,,,,,
119,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Deathwing Terminator Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",ebd0-6939-6305-6d16,Deathwing Strikemaster [Legends],Imperium - Adeptus Astartes - Dark Angels,model,1,1,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,DARK ANGELS,Deathwing Terminator Squad,,40mm,,,,,,,,,,
120,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Storm Speeder Hailstrike'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",fce3-2e6f-cede-69cc,Land Speeder Storm [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.63,name similarity 0.57; token overlap 0.50; faction compatible,SPACE MARINES,Storm Speeder Hailstrike,,90mm,,,,,,,,,,
121,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Stormlord'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a93c-9d4b-8fd9-15b4,Stormblade [Legends],Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.63,name similarity 0.74; token overlap 0.00; faction compatible,ASTRA MILITARUM,Stormlord,,Hull,,,,,,,,,,
122,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Drop Pod'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9401-616b-6e9e-10e5,Dreadclaw Drop Pod [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.63,name similarity 0.62; token overlap 0.67,SPACE MARINES,Drop Pod,,Hull,,,,,,,,,,
123,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Kapricus Carrier'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",2aee-e03c-836e-4c6e,Rapier Carrier [Legends],Library - Astartes Heresy Legends,model,1,1,unmatched_unit,0.63,name similarity 0.73; token overlap 0.33,LEAGUES OF VOTANN,Kapricus Carrier,,105x70mm Oval Base,,,,,,,,,,
124,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Big Mek'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",609a-6ef1-a3e3-3baa,Big Trakk [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.63,name similarity 0.62; token overlap 0.33; faction compatible,ORKS,Big Mek,,50mm,,,,,,,,,,
125,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Killa Kans'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",b8fe-c7af-20fd-631d,Kill Tank [Legends],Xenos - Orks,model,1,1,unmatched_unit,0.63,name similarity 0.74; token overlap 0.00; faction compatible,ORKS,Killa Kans,,60mm,,,,,,,,,,
126,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Zoanthropes'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",c17f-f55f-a3cb-530b,Malanthrope [Legends],Xenos - Tyranids,model,1,1,unmatched_unit,0.63,name similarity 0.73; token overlap 0.00; faction compatible,TYRANIDS,Zoanthropes,,40mm,,,,,,,,,,
127,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Winged Tyranid Prime'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",31f9-9730-853c-6f13,Tyranid Prime with Lash Whip,Xenos - Tyranids,model,1,1,unmatched_unit,0.63,name similarity 0.60; token overlap 0.40; faction compatible,TYRANIDS,Winged Tyranid Prime,,50mm,,,,,,,,,,
128,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Shadowseer'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9c94-b663-fd31-6001,Shadow Spectres [Legends],Aeldari - Aeldari Library,unit,5,11,unmatched_unit,0.62,name similarity 0.72; token overlap 0.00; faction compatible,AELDARI,Shadowseer,,25mm,,,,,,,,,,
129,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Master of Possession'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",a998-9dce-fbab-8d32,Masters of the Maelstrom,Chaos - Chaos Space Marines,unit,5,5,unmatched_unit,0.62,name similarity 0.65; token overlap 0.20; faction compatible,CHAOS SPACE MARINES,Master of Possession,,40mm,,,,,,,,,,
130,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Daemon Prince of Nurgle'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",c8b4-e13c-1a3a-7b55,Sorcerer on Palanquin of Nurgle [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.62,name similarity 0.63; token overlap 0.29; faction compatible,DEATH GUARD,Daemon Prince of Nurgle,,60mm,,,,,,,,,,
131,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Daemon Prince of Slaanesh'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",13b0-de3a-650c-d352,Sorcerer on Steed of Slaanesh [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.62,name similarity 0.63; token overlap 0.29; faction compatible,EMPEROR’S CHILDREN,Daemon Prince of Slaanesh,,60mm,,,,,,,,,,
132,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Daemon Prince of Nurgle'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",474-6b31-df19-2b49,Sorcerer on Palanquin of Nurgle [Legends],Chaos - Death Guard,model,1,1,unmatched_unit,0.62,name similarity 0.63; token overlap 0.29; faction compatible,DEATH GUARD,Daemon Prince of Nurgle,,60mm,,,,,,,,,,
133,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Ironstrider Ballistarii'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",8fc1-9168-5137-2b5d,Ironstrider Ballistarius (Twin cognis lascannon),Imperium - Adeptus Mechanicus,model,1,1,unmatched_unit,0.62,name similarity 0.67; token overlap 0.17; faction compatible,ADEPTUS MECHANICUS,Ironstrider Ballistarii,,105x70mm Oval Base,,,,,,,,,,
134,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Rogal Dorn Commander'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",4fc5-184d-b305-3551,Front-line Commander [Crucible],Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.62,name similarity 0.65; token overlap 0.20; faction compatible,ASTRA MILITARUM,Rogal Dorn Commander,,Hull,,,,,,,,,,
135,review_suggestion_low,"Check whether this imported unit is the same datasheet as 'Valkyrie'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",f8cc-73b7-6caa-f741,Valkyrie Sky Talon [Legends],Imperium - Astra Militarum - Library,model,1,1,unmatched_unit,0.62,name similarity 0.62; token overlap 0.33; faction compatible,ASTRA MILITARUM,Valkyrie,,120x92mm Oval Base,,,,,,,,,,
